'Elapsed time','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'0:03.016',8.700,-6.600,-0.900,-2.200,-5.500,0.500
'0:03.017',8.700,-7.000,-1.400,-2.000,-5.600,0.500
'0:03.018',8.000,-7.200,-1.300,-1.700,-5.300,0.500
'0:03.019',7.200,-7.000,-0.600,-1.300,-4.400,0.500
'0:03.020',7.000,-6.600,0.400,-0.700,-3.300,0.500
'0:03.021',7.800,-6.400,1.100,0.100,-2.400,0.500
'0:03.022',9.400,-6.500,1.000,0.800,-1.900,0.500
'0:03.023',11.100,-7.000,-0.100,1.200,-2.000,0.500
'0:03.024',11.700,-7.700,-1.500,1.200,-2.500,0.500
'0:03.025',10.600,-8.400,-2.600,0.600,-2.900,0.500
'0:03.026',8.200,-9.000,-3.100,-0.300,-3.000,0.500
'0:03.027',5.400,-9.300,-3.100,-1.300,-2.600,0.500
'0:03.028',3.100,-9.700,-3.000,-1.800,-1.900,0.500
'0:03.029',2.300,-10.200,-3.200,-1.800,-1.000,0.500
'0:03.030',2.800,-10.600,-3.800,-1.200,-0.200,0.500
'0:03.031',4.300,-11.000,-4.200,-0.400,0.400,0.500
'0:03.032',5.900,-11.100,-4.100,0.300,0.700,0.500
'0:03.033',6.500,-11.100,-3.400,0.600,0.700,0.500
'0:03.034',5.700,-11.100,-2.600,0.500,0.300,0.500
'0:03.035',3.500,-11.400,-2.400,0.200,-0.400,0.500
'0:03.036',0.600,-11.800,-3.000,0.100,-1.100,0.500
'0:03.037',-1.800,-12.100,-4.300,0.500,-1.400,0.500
'0:03.038',-2.800,-11.900,-5.300,1.500,-1.000,0.500
'0:03.039',-2.200,-11.100,-5.500,2.700,0.000,0.500
'0:03.040',-0.500,-10.200,-4.600,3.900,1.300,0.500
'0:03.041',1.100,-9.400,-3.200,4.600,2.200,0.500
'0:03.042',1.800,-9.300,-2.000,5.000,2.500,0.500
'0:03.043',1.200,-9.700,-1.700,5.000,2.200,0.500
'0:03.044',-0.200,-10.200,-2.300,5.100,1.700,0.500
'0:03.045',-1.800,-10.600,-3.000,5.500,1.600,0.500
'0:03.046',-2.900,-10.400,-3.100,6.200,2.100,0.500
'0:03.047',-3.700,-9.900,-2.400,7.000,3.200,0.500
'0:03.048',-4.300,-9.400,-1.200,7.600,4.300,0.500
'0:03.049',-5.000,-9.300,-0.300,7.900,4.900,0.500
'0:03.050',-5.900,-9.800,-0.400,7.600,4.900,0.500
'0:03.051',-6.600,-10.600,-1.500,7.100,4.700,0.500
'0:03.052',-6.800,-11.200,-3.000,6.700,4.700,0.500
'0:03.053',-6.600,-11.300,-4.300,6.500,5.100,0.500
'0:03.054',-6.400,-10.800,-4.900,6.800,5.900,0.500
'0:03.055',-6.500,-9.900,-5.100,7.300,6.800,0.500
'0:03.056',-7.200,-9.000,-5.100,7.700,7.300,0.500
'0:03.057',-8.300,-8.800,-5.700,7.500,7.100,0.500
'0:03.058',-9.100,-9.300,-6.800,6.600,6.400,0.500
'0:03.059',-9.200,-10.400,-7.800,5.400,5.700,0.500
'0:03.060',-8.600,-11.600,-8.200,4.400,5.300,0.500
'0:03.061',-7.700,-12.500,-7.400,3.900,5.600,0.500
'0:03.062',-7.100,-12.800,-5.600,4.300,6.300,0.500
'0:03.063',-7.200,-12.500,-3.400,5.200,7.300,0.500
'0:03.064',-7.700,-12.000,-2.000,6.100,8.000,0.500
'0:03.065',-8.000,-11.700,-1.800,6.500,8.400,0.500
'0:03.066',-7.800,-11.800,-2.800,6.100,8.300,0.500
'0:03.067',-7.300,-12.200,-4.400,5.300,8.100,0.500
'0:03.068',-7.200,-12.900,-5.600,4.500,7.900,0.500
'0:03.069',-7.900,-13.500,-5.900,4.200,8.000,0.500
'0:03.070',-9.300,-13.900,-5.300,4.700,8.500,0.500
'0:03.071',-10.600,-13.900,-4.300,5.700,9.300,0.500
'0:03.072',-10.800,-13.800,-3.700,6.600,10.000,0.500
'0:03.073',-9.600,-13.600,-3.800,7.100,10.600,0.500
'0:03.074',-7.600,-13.400,-4.500,7.100,10.900,0.500
'0:03.075',-6.000,-13.100,-5.300,6.700,11.000,0.500
'0:03.076',-5.700,-12.700,-5.700,6.400,11.100,0.500
'0:03.077',-6.600,-12.300,-5.400,6.600,11.400,0.500
'0:03.078',-8.000,-12.000,-4.800,7.200,11.800,0.500
'0:03.079',-9.000,-12.000,-4.300,8.100,12.300,0.500
'0:03.080',-9.400,-12.400,-4.300,8.800,12.500,0.500
'0:03.081',-9.700,-13.200,-4.900,8.900,12.500,0.500
'0:03.082',-10.300,-14.300,-5.700,8.300,12.000,0.500
'0:03.083',-11.500,-15.300,-6.200,7.200,11.400,0.500
'0:03.084',-12.500,-16.000,-6.100,6.000,10.700,0.500
'0:03.085',-12.700,-16.500,-5.500,5.400,10.200,0.500
'0:03.086',-11.800,-16.700,-4.900,5.400,10.100,0.500
'0:03.087',-10.700,-17.000,-4.600,6.100,10.400,0.500
'0:03.088',-10.400,-17.400,-4.800,6.900,10.800,0.500
'0:03.089',-11.700,-17.900,-5.300,7.400,11.400,0.500
'0:03.090',-14.300,-18.400,-5.700,7.400,11.900,0.500
'0:03.091',-17.000,-18.600,-5.800,7.000,12.200,0.500
'0:03.092',-18.500,-18.400,-5.500,6.500,12.200,0.500
'0:03.093',-18.300,-17.900,-5.200,6.300,12.000,0.500
'0:03.094',-16.700,-17.300,-5.300,6.600,11.700,0.500
'0:03.095',-14.400,-17.100,-5.800,7.200,11.300,0.500
'0:03.096',-12.300,-17.300,-6.600,7.600,10.800,0.500
'0:03.097',-10.800,-18.100,-7.600,7.700,10.400,0.500
'0:03.098',-10.100,-19.000,-8.300,7.400,10.100,0.500
'0:03.099',-10.200,-19.700,-8.400,7.100,10.000,0.500
'0:03.100',-11.200,-19.800,-7.900,7.200,10.300,0.500
'0:03.101',-12.800,-19.300,-7.000,7.900,11.000,0.500
'0:03.102',-14.800,-18.400,-5.900,9.300,12.100,0.500
'0:03.103',-16.300,-17.200,-4.900,10.800,13.300,0.500
'0:03.104',-16.900,-16.200,-4.100,12.000,14.500,0.500
'0:03.105',-16.400,-15.400,-3.500,12.600,15.500,0.500
'0:03.106',-15.300,-14.800,-3.000,12.300,16.000,0.500
'0:03.107',-14.200,-14.500,-2.500,11.600,16.000,0.500
'0:03.108',-13.700,-14.400,-2.000,10.600,15.700,0.500
'0:03.109',-13.700,-14.500,-1.700,9.700,15.100,0.500
'0:03.110',-14.000,-14.800,-1.600,9.200,14.400,0.500
'0:03.111',-14.300,-15.300,-1.800,9.000,13.700,0.500
'0:03.112',-14.600,-15.800,-2.200,9.100,13.000,0.500
'0:03.113',-14.900,-16.200,-2.600,9.100,12.200,0.500
'0:03.114',-15.100,-16.600,-2.900,8.900,11.300,0.500
'0:03.115',-15.300,-16.900,-3.100,8.500,10.500,0.500
'0:03.116',-15.300,-17.200,-3.200,7.900,9.600,0.500
'0:03.117',-15.400,-17.600,-3.500,7.200,8.900,0.500
'0:03.118',-15.800,-18.000,-3.900,6.700,8.400,0.500
'0:03.119',-16.700,-18.100,-4.400,6.500,8.100,0.500
'0:03.120',-17.800,-17.900,-4.900,6.600,8.000,0.500
'0:03.121',-18.700,-17.200,-5.200,6.800,7.900,0.500
'0:03.122',-18.800,-16.200,-5.500,7.100,7.600,0.500
'0:03.123',-18.000,-15.300,-5.800,7.400,7.200,0.500
'0:03.124',-16.500,-14.700,-6.300,7.700,6.700,0.500
'0:03.125',-15.200,-14.600,-6.800,8.000,6.100,0.500
'0:03.126',-14.700,-14.900,-7.200,8.300,5.400,0.500
'0:03.127',-15.200,-15.500,-7.100,8.400,4.600,0.500
'0:03.128',-16.200,-16.000,-6.700,8.300,3.700,0.500
'0:03.129',-17.500,-16.100,-5.900,7.800,2.900,0.500
'0:03.130',-18.500,-15.900,-5.000,7.200,2.400,0.500
'0:03.131',-19.200,-15.400,-4.100,6.700,2.300,0.500
'0:03.132',-19.600,-14.800,-3.400,6.500,2.700,0.500
'0:03.133',-19.800,-14.100,-2.600,6.600,3.100,0.500
'0:03.134',-19.700,-13.200,-1.700,6.800,3.200,0.500
'0:03.135',-19.600,-12.300,-1.200,6.900,2.600,0.500
'0:03.136',-19.500,-11.200,-1.100,6.600,1.500,0.500
'0:03.137',-19.700,-9.900,-1.600,6.300,0.300,0.500
'0:03.138',-20.200,-8.600,-2.600,6.200,-0.500,0.500
'0:03.139',-20.500,-7.000,-3.500,6.800,-0.600,0.500
'0:03.140',-20.300,-5.200,-3.800,7.900,-0.100,0.500
'0:03.141',-19.300,-3.400,-3.300,9.300,0.600,0.500
'0:03.142',-18.100,-1.800,-2.200,10.400,1.000,0.500
'0:03.143',-17.700,-1.000,-1.100,10.700,0.900,0.500
'0:03.144',-18.900,-0.900,-0.200,10.200,0.400,0.500
'0:03.145',-21.800,-1.500,0.400,9.300,-0.200,0.500
'0:03.146',-25.400,-2.200,0.900,8.500,-0.600,0.500
'0:03.147',-28.200,-2.400,1.500,8.300,-0.600,0.500
'0:03.148',-28.900,-2.000,1.900,8.600,-0.600,0.500
'0:03.149',-27.600,-1.100,1.700,9.200,-0.600,0.500
'0:03.150',-25.500,-0.500,0.500,9.400,-1.000,0.500
'0:03.151',-24.100,-0.400,-1.300,9.200,-1.500,0.500
'0:03.152',-24.200,-1.000,-3.200,8.500,-2.200,0.500
'0:03.153',-25.800,-1.800,-4.300,7.800,-2.700,0.500
'0:03.154',-27.500,-2.300,-4.100,7.200,-2.900,0.500
'0:03.155',-28.600,-2.100,-2.900,6.900,-3.000,0.500
'0:03.156',-28.600,-1.500,-1.300,6.700,-2.900,0.500
'0:03.157',-28.300,-0.900,-0.300,6.200,-2.700,0.500
'0:03.158',-28.400,-0.700,-0.100,5.500,-2.400,0.500
'0:03.159',-29.000,-0.800,-0.700,4.700,-2.000,0.500
'0:03.160',-29.500,-1.000,-1.300,4.300,-1.400,0.500
'0:03.161',-28.900,-0.500,-1.500,4.600,-0.700,0.500
'0:03.162',-27.000,0.700,-1.100,5.400,-0.100,0.500
'0:03.163',-24.400,2.400,-0.600,6.300,0.300,0.500
'0:03.164',-22.800,4.100,-0.500,6.700,0.300,0.500
'0:03.165',-23.500,5.100,-0.900,6.300,-0.100,0.500
'0:03.166',-26.500,5.100,-1.600,5.200,-0.800,0.500
'0:03.167',-30.700,4.400,-2.300,3.800,-1.400,0.500
'0:03.168',-34.201,3.500,-2.600,2.700,-1.800,0.500
'0:03.169',-35.701,3.000,-2.200,2.100,-1.700,0.500
'0:03.170',-35.201,3.100,-1.200,2.000,-1.300,0.500
'0:03.171',-33.901,3.700,-0.100,2.300,-0.900,0.500
'0:03.172',-33.001,4.600,0.900,2.800,-0.700,0.500
'0:03.173',-33.501,5.600,1.700,3.200,-0.800,0.500
'0:03.174',-35.201,6.300,2.200,3.600,-1.300,0.500
'0:03.175',-37.101,6.800,2.600,4.000,-1.800,0.500
'0:03.176',-38.201,7.000,3.000,4.300,-2.200,0.500
'0:03.177',-38.001,6.900,3.400,4.500,-2.400,0.500
'0:03.178',-36.901,6.600,4.000,4.600,-2.700,0.500
'0:03.179',-35.501,6.100,4.600,4.800,-3.100,0.500
'0:03.180',-34.501,5.600,4.900,5.100,-3.800,0.500
'0:03.181',-34.401,4.900,4.700,5.500,-5.000,0.500
'0:03.182',-35.301,4.400,4.000,5.900,-6.200,0.500
'0:03.183',-37.101,3.900,3.000,6.100,-7.200,0.500
'0:03.184',-39.401,3.700,2.300,6.000,-7.700,0.500
'0:03.185',-41.901,3.700,2.100,5.500,-7.600,0.500
'0:03.186',-44.101,4.000,2.800,4.700,-7.200,0.500
'0:03.187',-45.801,4.400,4.000,4.000,-6.800,0.500
'0:03.188',-46.701,4.600,5.100,3.400,-6.800,0.500
'0:03.189',-46.801,4.600,5.700,3.000,-7.200,0.500
'0:03.190',-46.301,4.200,5.300,2.800,-7.900,0.500
'0:03.191',-45.301,3.800,4.100,2.700,-8.400,0.500
'0:03.192',-44.001,3.500,2.500,2.600,-8.600,0.500
'0:03.193',-42.601,3.500,1.200,2.300,-8.200,0.500
'0:03.194',-41.401,3.800,0.600,2.000,-7.400,0.500
'0:03.195',-40.601,4.300,0.600,1.700,-6.500,0.500
'0:03.196',-40.301,4.700,1.000,1.600,-5.800,0.500
'0:03.197',-40.301,4.800,1.500,1.800,-5.300,0.500
'0:03.198',-40.401,4.600,1.900,2.200,-5.100,0.500
'0:03.199',-40.201,4.100,2.100,2.800,-4.900,0.500
'0:03.200',-39.901,3.800,2.300,3.200,-4.900,0.500
'0:03.201',-39.801,3.700,2.500,3.200,-4.900,0.500
'0:03.202',-40.401,3.900,2.700,2.800,-5.000,0.500
'0:03.203',-41.701,4.400,2.800,2.300,-5.400,0.500
'0:03.204',-43.501,4.900,2.600,2.000,-5.900,0.500
'0:03.205',-44.901,5.100,2.300,2.100,-6.200,0.500
'0:03.206',-45.301,4.800,1.900,2.700,-6.400,0.500
'0:03.207',-44.801,4.000,1.800,3.300,-6.300,0.500
'0:03.208',-43.801,3.100,2.200,3.700,-6.200,0.500
'0:03.209',-43.201,2.300,3.000,3.500,-6.000,0.500
'0:03.210',-43.301,2.000,4.100,2.800,-5.900,0.500
'0:03.211',-44.101,2.100,5.100,1.900,-5.800,0.500
'0:03.212',-44.501,2.500,5.700,1.200,-5.400,0.500
'0:03.213',-43.901,3.000,6.000,1.100,-4.900,0.500
'0:03.214',-42.201,3.300,6.000,1.500,-4.500,0.500
'0:03.215',-40.101,3.400,5.900,2.200,-4.500,0.500
'0:03.216',-38.801,3.400,5.700,2.700,-5.000,0.500
'0:03.217',-39.201,3.400,5.400,2.500,-6.100,0.500
'0:03.218',-41.301,3.300,4.900,1.700,-7.200,0.500
'0:03.219',-44.101,3.100,4.300,0.600,-7.900,0.500
'0:03.220',-46.401,3.000,3.800,-0.200,-7.700,0.500
'0:03.221',-47.101,3.100,3.800,-0.200,-6.600,0.500
'0:03.222',-46.201,3.700,4.500,0.700,-4.700,0.500
'0:03.223',-44.501,4.800,5.800,2.100,-2.600,0.500
'0:03.224',-43.301,6.400,7.300,3.400,-0.900,0.500
'0:03.225',-43.501,7.900,8.400,4.200,0.200,0.500
'0:03.226',-45.001,9.000,8.900,4.300,0.500,0.500
'0:03.227',-47.001,9.500,8.700,3.800,0.200,0.500
'0:03.228',-48.401,9.300,8.000,3.200,-0.400,0.500
'0:03.229',-48.501,8.800,7.100,2.900,-0.900,0.500
'0:03.230',-47.601,8.100,6.200,2.700,-1.300,0.500
'0:03.231',-46.101,7.600,5.300,2.600,-1.700,0.500
'0:03.232',-44.801,7.100,4.400,2.400,-2.200,0.500
'0:03.233',-44.201,6.600,3.300,1.900,-3.200,0.500
'0:03.234',-44.101,6.000,2.100,1.300,-4.500,0.500
'0:03.235',-44.301,5.400,0.900,0.800,-5.900,0.500
'0:03.236',-44.901,4.800,-0.300,0.700,-7.100,0.500
'0:03.237',-45.701,4.300,-1.400,0.800,-7.600,0.500
'0:03.238',-46.701,3.800,-2.200,1.100,-7.400,0.500
'0:03.239',-47.401,3.500,-2.600,1.300,-6.800,0.500
'0:03.240',-47.401,3.200,-2.500,1.400,-6.300,0.500
'0:03.241',-46.101,3.100,-1.900,1.400,-6.000,0.500
'0:03.242',-43.801,3.100,-1.100,1.300,-6.100,0.500
'0:03.243',-41.401,3.200,-0.300,1.100,-6.600,0.500
'0:03.244',-40.401,3.400,0.000,0.800,-7.200,0.500
'0:03.245',-41.501,3.300,-0.400,0.100,-7.900,0.500
'0:03.246',-44.401,3.000,-1.400,-0.800,-8.500,0.500
'0:03.247',-47.901,2.400,-2.700,-1.800,-8.900,0.500
'0:03.248',-50.201,1.800,-3.900,-2.600,-9.100,0.500
'0:03.249',-50.301,1.300,-4.600,-3.000,-9.100,0.500
'0:03.250',-48.501,1.100,-4.800,-3.100,-9.000,0.500
'0:03.251',-46.101,0.900,-4.700,-3.000,-8.800,0.500
'0:03.252',-44.401,0.800,-4.700,-3.000,-8.700,0.500
'0:03.253',-44.301,0.700,-5.000,-2.900,-8.600,0.500
'0:03.254',-45.401,0.600,-5.500,-2.800,-8.300,0.500
'0:03.255',-46.701,0.700,-6.000,-2.500,-7.700,0.500
'0:03.256',-47.301,1.200,-6.100,-1.900,-6.800,0.500
'0:03.257',-47.001,2.100,-5.800,-1.300,-5.700,0.500
'0:03.258',-46.501,3.100,-5.100,-1.000,-4.800,0.500
'0:03.259',-46.701,3.900,-4.400,-1.200,-4.500,0.500
'0:03.260',-47.901,4.300,-3.900,-1.600,-4.700,0.500
'0:03.261',-49.901,4.200,-3.600,-2.000,-5.200,0.500
'0:03.262',-51.801,4.000,-3.600,-2.100,-5.700,0.500
'0:03.263',-52.501,3.700,-3.600,-1.600,-5.800,0.500
'0:03.264',-51.601,3.700,-3.500,-0.900,-5.700,0.500
'0:03.265',-49.201,3.900,-3.300,-0.300,-5.400,0.500
'0:03.266',-46.401,4.200,-3.300,-0.200,-5.300,0.500
'0:03.267',-44.501,4.200,-3.400,-0.500,-5.500,0.500
'0:03.268',-44.201,4.000,-3.700,-1.100,-5.800,0.500
'0:03.269',-45.901,3.500,-4.100,-1.500,-6.100,0.500
'0:03.270',-48.801,3.000,-4.300,-1.500,-6.200,0.500
'0:03.271',-51.901,2.700,-4.400,-1.000,-6.400,0.500
'0:03.272',-54.301,2.500,-4.500,-0.500,-6.500,0.500
'0:03.273',-55.601,2.500,-4.700,-0.400,-6.700,0.500
'0:03.274',-55.901,2.500,-5.100,-0.800,-6.900,0.500
'0:03.275',-55.501,2.300,-5.800,-1.500,-6.800,0.500
'0:03.276',-54.601,2.000,-6.400,-2.200,-6.400,0.500
'0:03.277',-53.201,1.600,-6.800,-2.500,-5.600,0.500
'0:03.278',-51.101,1.600,-6.700,-2.400,-4.800,0.500
'0:03.279',-48.401,1.800,-6.100,-2.100,-4.300,0.500
'0:03.280',-45.801,2.400,-5.300,-1.900,-4.100,0.500
'0:03.281',-44.301,3.000,-4.400,-2.000,-4.100,0.500
'0:03.282',-44.501,3.500,-3.700,-2.400,-4.100,0.500
'0:03.283',-46.501,3.800,-3.200,-2.700,-3.800,0.500
'0:03.284',-49.201,4.100,-2.600,-2.600,-3.200,0.500
'0:03.285',-51.001,4.500,-2.000,-2.000,-2.400,0.500
'0:03.286',-50.901,5.000,-1.400,-1.100,-1.600,0.500
'0:03.287',-48.701,5.700,-0.900,-0.200,-1.200,0.500
'0:03.288',-45.601,6.300,-0.500,0.200,-1.300,0.500
'0:03.289',-43.001,6.700,-0.300,0.100,-1.700,0.500
'0:03.290',-42.201,6.700,-0.100,-0.200,-2.300,0.500
'0:03.291',-43.401,6.500,0.400,-0.500,-2.800,0.500
'0:03.292',-45.701,6.200,1.200,-0.800,-3.300,0.500
'0:03.293',-47.701,5.800,2.000,-1.100,-3.700,0.500
'0:03.294',-48.301,5.400,2.800,-1.400,-4.200,0.500
'0:03.295',-47.301,5.000,3.100,-1.900,-4.700,0.500
'0:03.296',-45.401,4.700,2.900,-2.300,-5.200,0.500
'0:03.297',-44.101,4.400,2.500,-2.500,-5.500,0.500
'0:03.298',-44.001,4.200,2.000,-2.300,-5.400,0.500
'0:03.299',-45.301,4.200,1.800,-1.700,-4.800,0.500
'0:03.300',-46.901,4.500,1.700,-1.100,-3.900,0.500
'0:03.301',-47.801,4.800,1.900,-0.600,-2.900,0.500
'0:03.302',-47.301,5.200,2.000,-0.300,-2.100,0.500
'0:03.303',-45.701,5.600,2.000,-0.200,-1.500,0.500
'0:03.304',-44.301,5.800,1.800,0.000,-1.300,0.500
'0:03.305',-44.001,6.000,1.600,0.200,-1.500,0.500
'0:03.306',-44.901,6.000,1.400,0.400,-2.000,0.500
'0:03.307',-46.301,5.900,1.300,0.300,-2.600,0.500
'0:03.308',-47.001,5.900,1.300,0.200,-3.100,0.500
'0:03.309',-46.301,6.000,1.500,0.200,-3.400,0.500
'0:03.310',-44.601,6.400,1.600,0.500,-3.500,0.500
'0:03.311',-43.201,7.000,1.400,1.100,-3.600,0.500
'0:03.312',-43.401,7.500,0.800,1.600,-3.800,0.500
'0:03.313',-45.301,7.800,-0.200,1.800,-4.200,0.500
'0:03.314',-48.301,7.600,-1.600,1.200,-4.700,0.500
'0:03.315',-50.801,7.100,-2.700,0.200,-5.000,0.500
'0:03.316',-51.401,6.600,-3.100,-0.800,-4.900,0.500
'0:03.317',-49.901,6.400,-2.300,-1.100,-4.500,0.500
'0:03.318',-47.301,6.700,-0.400,-0.500,-3.900,0.500
'0:03.319',-45.001,7.500,2.200,0.800,-3.500,0.500
'0:03.320',-44.301,8.300,4.500,1.900,-3.700,0.500
'0:03.321',-45.501,8.900,6.000,2.300,-4.500,0.500
'0:03.322',-48.001,8.900,6.400,1.700,-5.700,0.500
'0:03.323',-50.801,8.400,5.900,0.600,-6.700,0.500
'0:03.324',-52.801,7.800,4.900,-0.400,-7.300,0.500
'0:03.325',-53.801,7.400,4.100,-0.700,-7.300,0.500
'0:03.326',-54.101,7.100,3.600,-0.500,-7.200,0.500
'0:03.327',-54.701,7.000,3.500,-0.200,-7.000,0.500
'0:03.328',-56.201,6.600,3.400,-0.100,-6.900,0.500
'0:03.329',-58.701,6.000,3.200,-0.600,-6.900,0.500
'0:03.330',-61.401,5.400,2.800,-1.200,-6.700,0.500
'0:03.331',-63.201,5.100,2.500,-1.600,-6.300,0.500
'0:03.332',-62.901,5.300,2.400,-1.200,-5.600,0.500
'0:03.333',-60.301,6.300,2.600,-0.100,-4.900,0.500
'0:03.334',-56.601,7.600,3.000,1.300,-4.200,0.500
'0:03.335',-53.401,9.100,3.400,2.400,-3.700,0.500
'0:03.336',-52.501,10.400,3.600,3.200,-3.400,0.500
'0:03.337',-54.401,11.500,3.500,3.500,-3.100,0.500
'0:03.338',-58.301,12.300,3.100,3.600,-2.800,0.500
'0:03.339',-62.101,12.700,2.300,3.600,-2.700,0.500
'0:03.340',-64.201,12.600,1.300,3.400,-3.000,0.500
'0:03.341',-63.801,11.700,0.000,2.700,-3.900,0.500
'0:03.342',-61.501,10.000,-1.600,1.500,-5.200,0.500
'0:03.343',-58.901,7.800,-3.400,-0.100,-6.700,0.500
'0:03.344',-57.701,5.700,-5.000,-1.600,-7.900,0.500
'0:03.345',-58.701,4.500,-6.100,-2.400,-8.400,0.500
'0:03.346',-61.401,4.200,-6.500,-2.600,-8.400,0.500
'0:03.347',-64.501,4.600,-6.200,-2.400,-8.100,0.500
'0:03.348',-66.701,5.100,-5.500,-2.200,-8.100,0.500
'0:03.349',-67.301,5.200,-4.800,-2.300,-8.600,0.500
'0:03.350',-66.401,4.700,-4.300,-3.000,-9.600,0.500
'0:03.351',-64.901,3.800,-3.900,-4.000,-10.700,0.500
'0:03.352',-63.501,3.100,-3.700,-4.900,-11.300,0.500
'0:03.353',-62.501,2.900,-3.300,-5.400,-11.300,0.500
'0:03.354',-61.901,3.100,-2.700,-5.400,-10.700,0.500
'0:03.355',-61.501,3.600,-1.900,-5.200,-9.700,0.500
'0:03.356',-61.101,3.900,-1.200,-4.700,-8.700,0.500
'0:03.357',-61.201,3.900,-0.800,-4.100,-8.100,0.500
'0:03.358',-62.001,3.700,-0.700,-3.500,-7.800,0.500
'0:03.359',-63.701,3.300,-0.900,-3.000,-7.800,0.500
'0:03.360',-65.701,2.800,-1.200,-2.600,-7.900,0.500
'0:03.361',-67.301,2.400,-1.200,-2.300,-7.900,0.500
'0:03.362',-67.701,2.000,-0.900,-2.200,-7.700,0.500
'0:03.363',-67.001,1.800,-0.300,-2.300,-7.500,0.500
'0:03.364',-65.501,1.900,0.600,-2.400,-7.200,0.500
'0:03.365',-63.901,2.400,1.300,-2.500,-6.900,0.500
'0:03.366',-62.601,3.100,1.700,-2.400,-6.700,0.500
'0:03.367',-61.601,3.600,1.500,-2.200,-6.900,0.500
'0:03.368',-60.801,3.900,0.800,-1.800,-7.500,0.500
'0:03.369',-59.901,3.900,-0.100,-1.500,-8.500,0.500
'0:03.370',-59.101,3.600,-1.000,-1.500,-9.500,0.500
'0:03.371',-59.001,3.500,-1.600,-1.700,-10.100,0.500
'0:03.372',-59.601,3.500,-1.800,-2.300,-10.000,0.500
'0:03.373',-60.901,3.700,-1.600,-3.000,-9.200,0.500
'0:03.374',-62.401,3.900,-1.300,-3.400,-8.000,0.500
'0:03.375',-63.701,4.000,-0.700,-3.200,-6.700,0.500
'0:03.376',-64.401,4.100,-0.300,-2.400,-5.900,0.500
'0:03.377',-64.301,4.300,0.100,-1.100,-5.800,0.500
'0:03.378',-63.701,4.600,0.200,0.000,-6.400,0.500
'0:03.379',-62.501,5.000,0.100,0.500,-7.500,0.500
'0:03.380',-61.101,5.200,-0.200,0.200,-8.700,0.500
'0:03.381',-59.801,5.200,-0.500,-0.800,-9.800,0.500
'0:03.382',-58.901,4.800,-0.700,-2.100,-10.600,0.500
'0:03.383',-59.001,4.400,-0.600,-3.400,-11.000,0.500
'0:03.384',-60.201,4.100,-0.200,-4.300,-10.900,0.500
'0:03.385',-62.201,4.200,0.500,-4.800,-10.300,0.500
'0:03.386',-64.501,4.700,1.500,-4.900,-9.500,0.500
'0:03.387',-66.601,5.200,2.500,-4.700,-8.700,0.500
'0:03.388',-68.201,5.500,3.300,-4.300,-8.100,0.500
'0:03.389',-68.901,5.400,3.700,-3.700,-7.900,0.500
'0:03.390',-68.601,5.000,3.500,-3.000,-8.100,0.500
'0:03.391',-67.301,4.300,2.800,-2.400,-8.400,0.500
'0:03.392',-65.201,3.600,1.600,-2.100,-8.700,0.500
'0:03.393',-62.901,2.900,0.200,-2.200,-9.000,0.500
'0:03.394',-61.101,2.200,-1.200,-2.600,-9.200,0.500
'0:03.395',-60.201,1.600,-2.200,-3.400,-9.600,0.500
'0:03.396',-60.201,0.900,-2.800,-4.200,-10.200,0.500
'0:03.397',-60.301,0.400,-3.000,-4.700,-10.700,0.500
'0:03.398',-59.901,0.100,-2.800,-4.800,-11.000,0.500
'0:03.399',-58.501,0.100,-2.500,-4.500,-10.800,0.500
'0:03.400',-56.901,0.300,-2.100,-4.000,-10.000,0.500
'0:03.401',-56.001,0.800,-1.800,-3.600,-8.900,0.500
'0:03.402',-56.601,1.100,-1.600,-3.200,-7.900,0.500
'0:03.403',-58.401,1.200,-1.500,-2.900,-7.200,0.500
'0:03.404',-60.301,1.100,-1.500,-2.600,-7.000,0.500
'0:03.405',-60.901,1.100,-1.300,-2.100,-7.000,0.500
'0:03.406',-59.601,1.200,-0.900,-1.300,-7.000,0.500
'0:03.407',-57.101,1.700,-0.400,-0.500,-6.900,0.500
'0:03.408',-54.801,2.400,0.200,0.200,-6.400,0.500
'0:03.409',-53.801,3.200,0.900,0.600,-5.800,0.500
'0:03.410',-54.601,3.800,1.500,0.600,-5.400,0.500
'0:03.411',-56.101,4.300,2.100,0.400,-5.400,0.500
'0:03.412',-57.401,4.600,2.700,0.200,-5.800,0.500
'0:03.413',-57.801,4.900,3.100,0.100,-6.500,0.500
'0:03.414',-57.901,5.100,3.300,0.200,-7.100,0.500
'0:03.415',-58.901,5.300,3.200,0.100,-7.600,0.500
'0:03.416',-61.201,5.400,2.800,-0.100,-7.700,0.500
'0:03.417',-64.501,5.300,2.400,-0.500,-7.500,0.500
'0:03.418',-67.401,5.100,2.100,-0.800,-7.300,0.500
'0:03.419',-68.701,4.900,2.200,-1.000,-7.200,0.500
'0:03.420',-67.901,4.700,2.600,-0.900,-7.100,0.500
'0:03.421',-65.901,4.700,3.000,-0.500,-7.100,0.500
'0:03.422',-64.401,4.700,3.300,0.000,-7.000,0.500
'0:03.423',-64.201,4.800,3.300,0.200,-6.800,0.500
'0:03.424',-65.301,4.800,3.100,-0.100,-6.600,0.500
